job_id,job_title_raw,company,location,job_type_final,work_setup_final,salary_min_observed,salary_max_observed,salary_observed_midpoint,salary_available,salary_shown_in_dashboard,salary_used_for_scoring,salary_estimation_method,standardized_role,role_confidence,seniority_level_llm,seniority_level_for_scoring,seniority_estimation_method,seniority_confidence,minimum_years_experience,maximum_years_experience,experience_basis
1,AI Engineer,TalentsThatFit,Remote,Full Time,Work from Home,80000.0,,80000.0,True,80000.0,80000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,"5+ years of experience in Software Engineering, Data Engineering, and Applied Artificial Intelligence"
2,AI Engineer,24x7,Philippines,Full Time,Work from Home,90000.0,,90000.0,True,90000.0,90000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,"5+ years building production-level LLM, AI agent, or RAG systems"
3,Senior AI/ML Engineer,Optum,Manila,Full Time,Hybrid,100000.0,,100000.0,True,100000.0,100000.0,Observed,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,6.0,8.0,6–8+ years AI/ML experience
4,Backend Engineer,DataAnnotation,NCR,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Low,Unspecified,Mid,Estimated: same role mode,Low,,,
5,Platform Engineer,DataAnnotation,Cebu City,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Low,Unspecified,Mid,Estimated: same role mode,Low,,,
6,DevOps Engineer,DataAnnotation,NCR,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role median,Other/Adjacent,Medium,Unspecified,Mid,Estimated: same role mode,Low,,,
7,AI Automation Engineer,Outsourced Doers,Philippines,Full Time,Work from Home,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,5.0,,"Qualifications: 5+ years in software or automation engineering, with 2+ years building production AI/LLM-backed systems"
8,Data Engineer,ADEC Innovations,NCR,Full Time,Work from Home,90000.0,,90000.0,True,90000.0,90000.0,Observed,Data Engineer,High,Senior,Senior,LLM extracted,High,5.0,,Required Qualifications: 5+ years of hands-on experience building data pipelines in Azure
9,Azure AI Engineer,Geco Asia Pte Ltd,Taguig,Full Time,Hybrid,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,3.0,6.0,"Qualifications: 3–6+ years in AI/ML, software engineering, or cloud-based AI development"
10,Manager Expert - Technical Architect for AI,Gratitude Inc.,Manila,Full Time,Hybrid,100000.0,,100000.0,True,100000.0,100000.0,Observed,AI/ML Engineer,High,Lead/Manager,Lead/Manager,LLM extracted,High,10.0,,"Qualifications: 10+ years of overall IT experience, including 5+ years in technical or solution architecture roles and 5+ years in Generative AI model architecture design and implementation"
11,Software Architect / Platform Architect,Trixicon LTD,Remote,Full Time,Work from Home,,,,False,,168600.0,Estimated: same role + seniority median,Other/Adjacent,High,Senior,Senior,LLM extracted,High,5.0,,"Significant experience as a Software Architect, Principal Engineer, or Tech Lead in SaaS systems or marketplaces"
12,Solutions Architect,Sailglobal Technology Limited,Taguig,Full Time,Hybrid,266000.0,,266000.0,True,266000.0,266000.0,Observed,AI/ML Engineer,High,Mid,Mid,LLM extracted,Medium,3.0,,"3+ years in Solutions Architecture, Cloud Consulting, or Technical Pre-Sales"
13,ML/AI Engineer,JWay Group,Pasig,Full Time,Onsite,,,,False,,90000.0,Estimated: same role + seniority median,AI/ML Engineer,High,Senior,Senior,LLM extracted,High,3.0,5.0,"At least 3-5 years of experience in machine learning, AI, or data science roles"
