skill_id,skill_key,skill_name,skill_count,alias_examples,cluster_id,cluster_name,cluster_reason
SKILL_0001,a/b testing,A/B testing,2,A/B Testing; A/B testing,CLUSTER_022,Statistics and Experimentation,A/B testing is a statistical method for comparing two versions of something
SKILL_0002,api integration,API integration,3,API integration,CLUSTER_011,API Development,"API integration involves connecting and using APIs, which falls under API development"
SKILL_0003,apis,APIs,3,APIs,CLUSTER_011,API Development,APIs are the core of API development and integration
SKILL_0004,aws,AWS,27,AWS; Cloud platforms; cloud platforms,CLUSTER_018,Cloud Platforms,AWS is a major cloud platform and fits into the Cloud Platforms cluster
SKILL_0005,aws ai/ml services,AWS AI/ML services,1,AWS AI/ML services,CLUSTER_019,Cloud Data Services,AWS AI/ML services are specific managed cloud data/AI services
SKILL_0006,aws bedrock,AWS Bedrock,1,AWS Bedrock,CLUSTER_019,Cloud Data Services,AWS Bedrock is a specific managed cloud AI service
SKILL_0007,aws glue,AWS Glue,1,AWS Glue,CLUSTER_019,Cloud Data Services,AWS Glue is a specific managed cloud data service
SKILL_0008,aws sagemaker,AWS SageMaker,1,AWS SageMaker,CLUSTER_019,Cloud Data Services,AWS SageMaker is a specific managed cloud data/AI service
SKILL_0009,access control,Access control,1,Access control,CLUSTER_023,Cybersecurity,Access control is a key component of cybersecurity
SKILL_0010,adobe aep xdm schemas,Adobe AEP XDM schemas,1,Adobe AEP XDM schemas,CLUSTER_030,Other Technical Skills,Adobe AEP XDM schemas are specific and do not fit into any other cluster
SKILL_0011,airflow,Airflow,6,Airflow,CLUSTER_016,Workflow Orchestration,Airflow is a workflow orchestration tool
SKILL_0012,alibaba cloud,Alibaba Cloud,1,Alibaba Cloud,CLUSTER_018,Cloud Platforms,Alibaba Cloud is a major cloud platform
SKILL_0013,alloydb,AlloyDB,1,AlloyDB,CLUSTER_019,Cloud Data Services,AlloyDB is a specific managed cloud data service
SKILL_0014,ansible,Ansible,1,Ansible,CLUSTER_020,DevOps and Cloud Infrastructure,Ansible is a DevOps and cloud infrastructure automation tool
SKILL_0015,anthropic,Anthropic,1,Anthropic,CLUSTER_002,Generative AI,Anthropic is a company focused on generative AI
SKILL_0016,anthropic claude api,Anthropic Claude API,1,Anthropic Claude API,CLUSTER_002,Generative AI,The Anthropic Claude API is a generative AI API
SKILL_0017,apache airflow,Apache Airflow,1,Apache Airflow,CLUSTER_016,Workflow Orchestration,Apache Airflow is a workflow orchestration tool
SKILL_0018,apache spark,Apache Spark,1,Big Data technologies,CLUSTER_017,Big Data Processing,Apache Spark is a big data processing framework
SKILL_0019,azure,Azure,8,Cloud platforms; cloud deployment on Azure; cloud platforms,CLUSTER_018,Cloud Platforms,Azure is a major cloud platform
SKILL_0020,azure ai foundry,Azure AI Foundry,2,Azure AI Foundry,CLUSTER_019,Cloud Data Services,Azure AI Foundry is a specific managed cloud data/AI service
SKILL_0021,azure ai search,Azure AI Search,2,Azure AI Search,CLUSTER_019,Cloud Data Services,Azure AI Search is a specific managed cloud data/AI service
SKILL_0022,azure ai studio,Azure AI Studio,1,Azure AI Studio,CLUSTER_019,Cloud Data Services,Azure AI Studio is a specific managed cloud data/AI service
SKILL_0023,azure blob storage,Azure Blob Storage,5,Azure Blob Storage; Azure Blob storage; Azure Data Ecosystem,CLUSTER_019,Cloud Data Services,Azure Blob Storage is a specific managed cloud data service
SKILL_0024,azure cognitive services,Azure Cognitive Services,1,Azure Cognitive Services,CLUSTER_019,Cloud Data Services,Azure Cognitive Services are specific managed cloud data/AI services
SKILL_0025,azure data factory,Azure Data Factory,10,"Azure Data Ecosystem; Azure Data Factory; Azure cloud services (ADF, ADLS, Databricks)",CLUSTER_019,Cloud Data Services,Azure Data Factory is a specific managed cloud data service
SKILL_0026,azure data lake,Azure Data Lake,4,Azure Data Ecosystem; Azure Data Lake,CLUSTER_019,Cloud Data Services,Azure Data Lake is a specific managed cloud data service
SKILL_0027,azure data lake storage,Azure Data Lake Storage,2,"Azure Data Lake Storage; Azure cloud services (ADF, ADLS, Databricks)",CLUSTER_019,Cloud Data Services,Azure Data Lake Storage is a specific managed cloud data service
SKILL_0028,azure data lake storage gen 2,Azure Data Lake Storage Gen 2,1,Azure Data Lake Storage Gen 2,CLUSTER_019,Cloud Data Services,Azure Data Lake Storage Gen 2 is a specific managed cloud data service
SKILL_0029,azure databricks,Azure Databricks,4,"Azure Databricks; Azure cloud services (ADF, ADLS, Databricks)",CLUSTER_019,Cloud Data Services,Azure Databricks is a specific managed cloud data service
SKILL_0030,azure devops,Azure DevOps,2,Azure DevOps,CLUSTER_020,DevOps and Cloud Infrastructure,Azure DevOps is a DevOps and cloud infrastructure tool
SKILL_0031,azure lighthouse,Azure Lighthouse,1,Azure Lighthouse,CLUSTER_019,Cloud Data Services,Azure Lighthouse is a specific managed cloud data service
SKILL_0032,azure machine learning,Azure Machine Learning,1,Azure Machine Learning,CLUSTER_019,Cloud Data Services,Azure Machine Learning is a specific managed cloud data/AI service
SKILL_0033,azure networking,Azure Networking,1,Azure networking,CLUSTER_020,DevOps and Cloud Infrastructure,Azure Networking is part of cloud infrastructure management
SKILL_0034,azure networking fundamentals,Azure Networking Fundamentals,1,Azure networking fundamentals,CLUSTER_020,DevOps and Cloud Infrastructure,Azure Networking Fundamentals is part of cloud infrastructure management
SKILL_0035,azure openai service,Azure OpenAI Service,1,Azure OpenAI Service,CLUSTER_019,Cloud Data Services,Azure OpenAI Service is a specific managed cloud data/AI service
SKILL_0036,azure sql,Azure SQL,3,Azure SQL,CLUSTER_019,Cloud Data Services,Azure SQL is a specific managed cloud data service
SKILL_0037,azure sql databases,Azure SQL Databases,2,Azure Data Ecosystem; Azure SQL Databases,CLUSTER_019,Cloud Data Services,Azure SQL Databases is a specific managed cloud data service
SKILL_0038,azure synapse,Azure Synapse,3,Azure Synapse,CLUSTER_019,Cloud Data Services,Azure Synapse is a specific managed cloud data service
SKILL_0039,backup and disaster recovery,Backup and Disaster Recovery,1,backup and disaster recovery,CLUSTER_020,DevOps and Cloud Infrastructure,Backup and disaster recovery are part of cloud infrastructure management
SKILL_0040,bedrock,Bedrock,1,Bedrock,CLUSTER_019,Cloud Data Services,Bedrock is a specific managed cloud data/AI service
SKILL_0041,bigquery,BigQuery,4,BigQuery,CLUSTER_019,Cloud Data Services,BigQuery is a specific managed cloud data service
SKILL_0042,bigqueryml,BigQueryML,1,BigQueryML,CLUSTER_019,Cloud Data Services,BigQueryML is a specific managed cloud data service
SKILL_0043,block storage iscsi san nfs,"Block Storage (iSCSI, SAN, NFS)",1,"Block Storage (iSCSI, SAN, NFS)",CLUSTER_020,DevOps and Cloud Infrastructure,Block storage is part of cloud infrastructure management
SKILL_0044,c,C,1,C,CLUSTER_009,Programming Languages,C is a general-purpose programming language
SKILL_0045,c#,C#,2,C#,CLUSTER_009,Programming Languages,C# is a general-purpose programming language
SKILL_0046,c++,C++,1,C++,CLUSTER_009,Programming Languages,C++ is a general-purpose programming language
SKILL_0047,ci/cd,CI/CD,8,CI/CD,CLUSTER_020,DevOps and Cloud Infrastructure,CI/CD is a key part of DevOps and cloud infrastructure
