tree_mode,skill_id,skill_key,skill_name,cluster_id,cluster_name,learning_level,learning_level_order,difficulty_score,ease_score,demand_score,role_coverage_score,role_balance_score,universality_score,entry_accessibility_score,transition_priority_score,experience_barrier_score,weighted_skill_score,skill_tree_score,priority_rank,tree_x,tree_y,tree_rank_within_cluster,learning_rationale
Learning Progression,SKILL_0150,langchain,LangChain,CLUSTER_001,Agentic AI,Advanced / Differentiator,4,0.8,0.19999999999999996,0.02666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.118,0.64,0.0978,0.11333333333333331,56,0,30,1,"LangChain requires knowledge of AI frameworks and application development, making it a more advanced skill"
Learning Progression,SKILL_0277,multi-agent systems,multi-agent systems,CLUSTER_001,Agentic AI,Advanced / Differentiator,4,0.85,0.15000000000000002,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.07833333333333334,62,1,30,2,"Multi-agent systems require advanced knowledge of AI and distributed systems, making it a challenging skill"
Learning Progression,SKILL_0279,sub-agents,sub-agents,CLUSTER_001,Agentic AI,Advanced / Differentiator,4,0.85,0.15000000000000002,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.07833333333333334,68,2,30,3,"Sub-agents require advanced knowledge of AI and system design, making it a challenging skill"
Learning Progression,SKILL_0144,llm,LLM,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.02666666666666667,0.2,-0.0,0.13999999999999999,0.25,0.1795,0.88,0.14095,0.2633333333333333,44,0,20,1,
Learning Progression,SKILL_0126,generative ai,Generative AI,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.013333333333333334,0.2,-0.0,0.13999999999999999,0.0,0.128,0.8,0.1008,0.25666666666666665,53,1,20,2,
Learning Progression,SKILL_0145,llm api integration,LLM API integration,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.013333333333333334,0.2,-0.0,0.13999999999999999,0.0,0.12,0.72,0.096,0.25666666666666665,59,2,20,3,
Learning Progression,SKILL_0146,llm apis,LLM APIs,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.013333333333333334,0.2,-0.0,0.13999999999999999,0.0,0.11199999999999999,0.64,0.0912,0.25666666666666665,61,3,20,4,
Learning Progression,SKILL_0099,dialogflow,Dialogflow,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,0,21,5,
Learning Progression,SKILL_0016,anthropic claude api,Anthropic Claude API,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.25333333333333335,62,1,21,6,
Learning Progression,SKILL_0104,document ai,Document AI,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.25333333333333335,62,2,21,7,
Learning Progression,SKILL_0127,generative ai genai,Generative AI (GenAI),CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.101,0.56,0.08310000000000001,0.25333333333333335,63,3,21,8,
Learning Progression,SKILL_0128,generative ai model architecture design,Generative AI model architecture design,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.069,0.24,0.0639,0.25333333333333335,66,0,22,9,
Learning Progression,SKILL_0015,anthropic,Anthropic,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.25333333333333335,68,1,22,10,
Learning Progression,SKILL_0124,gemini,Gemini,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.25333333333333335,68,2,22,11,
Learning Progression,SKILL_0147,llm-based workflows,LLM-based workflows,CLUSTER_002,Generative AI,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.25333333333333335,68,3,22,12,
Learning Progression,SKILL_0210,prompt engineering,Prompt engineering,CLUSTER_002,Generative AI,Role-Specific,3,0.6,0.4,0.04666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.14300000000000002,0.8,0.11730000000000002,0.22333333333333336,47,0,23,13,Prompt engineering requires creativity and understanding of LLM behavior to optimize model outputs
Learning Progression,SKILL_0190,openai api,OpenAI API,CLUSTER_002,Generative AI,Role-Specific,3,0.65,0.35,0.013333333333333334,0.2,-0.0,0.13999999999999999,0.0,0.12,0.72,0.096,0.18166666666666664,59,1,23,14,"OpenAI API requires understanding of API integration, model usage, and application of LLMs in practical scenarios"
Learning Progression,SKILL_0209,prompt flow,Prompt Flow,CLUSTER_002,Generative AI,Role-Specific,3,0.65,0.35,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.17833333333333332,57,2,23,15,Prompt Flow requires understanding of prompt engineering and workflow automation for LLMs
Learning Progression,SKILL_0189,openai,OpenAI,CLUSTER_002,Generative AI,Role-Specific,3,0.65,0.35,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.17833333333333332,68,3,23,16,"OpenAI requires understanding of API integration, model usage, and application of LLMs in practical scenarios"
Learning Progression,SKILL_0148,llms,LLMs,CLUSTER_002,Generative AI,Role-Specific,3,0.75,0.25,0.02,0.2,-0.0,0.13999999999999999,0.0,0.119,0.6799999999999999,0.09689999999999999,0.135,58,0,24,17,"LLMs require foundational knowledge of machine learning and deep learning concepts, as well as familiarity with model training, evaluation, and deployment"
Learning Progression,SKILL_0152,large language models llms,Large Language Models (LLMs),CLUSTER_002,Generative AI,Role-Specific,3,0.75,0.25,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.12833333333333333,62,1,24,18,"LLMs require foundational knowledge of machine learning and deep learning concepts, as well as familiarity with model training, evaluation, and deployment"
Learning Progression,SKILL_0235,retrieval strategies,Retrieval strategies,CLUSTER_003,RAG and Vector Search,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,0,10,1,"Retrieval strategies involve understanding search algorithms and data structures, which is moderately complex"
Learning Progression,SKILL_0273,vector search,Vector search,CLUSTER_003,RAG and Vector Search,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,1,10,2,"Vector search involves algorithms and data structures for similarity search, which is moderately complex"
Learning Progression,SKILL_0272,vector embeddings,Vector embeddings,CLUSTER_003,RAG and Vector Search,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.25333333333333335,62,2,10,3,"Vector embeddings require understanding of NLP and representation learning, which is moderately complex"
Learning Progression,SKILL_0213,rag,RAG,CLUSTER_003,RAG and Vector Search,Core Applied,2,0.55,0.44999999999999996,0.04666666666666667,0.2,-0.0,0.13999999999999999,0.14285714285714285,0.15642857142857142,0.72,0.12892857142857142,0.24833333333333332,46,3,10,4,"RAG requires understanding of NLP, retrieval systems, and generation models, which is moderately complex"
Learning Progression,SKILL_0236,retrieval-augmented generation rag,Retrieval-Augmented Generation (RAG),CLUSTER_003,RAG and Vector Search,Core Applied,2,0.55,0.44999999999999996,0.013333333333333334,0.2,-0.0,0.13999999999999999,0.0,0.12,0.72,0.096,0.23166666666666663,59,0,11,5,"RAG requires knowledge of both retrieval and generation systems, which is moderately complex"
Learning Progression,SKILL_0271,vector databases,Vector databases,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.7,0.30000000000000004,0.04,0.2,-0.0,0.13999999999999999,0.16666666666666666,0.165,0.8,0.13316666666666666,0.17,45,0,20,1,"Vector databases involve complex data structures and similarity search, requiring domain-specific knowledge"
Learning Progression,SKILL_0217,rag pipeline,RAG pipeline,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.7,0.30000000000000004,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.15333333333333335,62,1,20,2,"Building a RAG pipeline requires knowledge of data flow, retrieval, and generation components"
Learning Progression,SKILL_0199,pinecone,Pinecone,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.7,0.30000000000000004,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.101,0.56,0.08310000000000001,0.15333333333333335,63,2,20,3,"Pinecone involves vector database concepts and integration with ML workflows, requiring domain-specific knowledge"
Learning Progression,SKILL_0270,vector dbs,Vector DBs,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.7,0.30000000000000004,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.101,0.56,0.08310000000000001,0.15333333333333335,63,3,20,4,"Vector DBs require understanding of vector similarity and database systems, which is more advanced"
Learning Progression,SKILL_0214,rag architecture,RAG architecture,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.75,0.25,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.12833333333333333,57,0,21,5,"Designing RAG architectures involves system design and integration of multiple components, requiring advanced knowledge"
Learning Progression,SKILL_0216,rag implementation,RAG implementation,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.75,0.25,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.12833333333333333,57,1,21,6,"Implementing RAG systems involves coding, integration, and optimization, which is complex for career shifters"
Learning Progression,SKILL_0218,rag-based solutions,RAG-based solutions,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.75,0.25,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.12833333333333333,57,2,21,7,Creating RAG-based solutions involves combining multiple technologies and understanding their integration
Learning Progression,SKILL_0112,faiss,FAISS,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.75,0.25,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.101,0.56,0.08310000000000001,0.12833333333333333,63,3,21,8,"FAISS requires understanding of vector similarity search and machine learning concepts, making it more specialized"
Learning Progression,SKILL_0215,rag architectures,RAG architectures,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.75,0.25,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.12833333333333333,68,0,22,9,Understanding and implementing various RAG architectures requires deep technical expertise
Learning Progression,SKILL_0219,ragas,RAGAS,CLUSTER_003,RAG and Vector Search,Role-Specific,3,0.75,0.25,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.12833333333333333,68,1,22,10,"RAGAS requires knowledge of evaluation frameworks and metrics for RAG systems, which is niche"
Learning Progression,SKILL_0176,nlp,NLP,CLUSTER_004,NLP and Text Analytics,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,0,10,1,"NLP requires understanding of text processing, language modeling, and machine learning techniques"
Learning Progression,SKILL_0177,nltk,NLTK,CLUSTER_004,NLP and Text Analytics,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,1,10,2,NLTK requires understanding of Python and text processing libraries for NLP tasks
Learning Progression,SKILL_0248,speech-to-text,Speech-to-Text,CLUSTER_004,NLP and Text Analytics,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,2,10,3,Speech-to-Text requires understanding of audio processing and NLP techniques
Learning Progression,SKILL_0266,text-to-speech,Text-to-Speech,CLUSTER_004,NLP and Text Analytics,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,3,10,4,Text-to-Speech requires understanding of audio synthesis and NLP techniques
Learning Progression,SKILL_0278,spacy,spaCy,CLUSTER_004,NLP and Text Analytics,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,0,11,5,spaCy requires understanding of Python and NLP libraries for text processing
Learning Progression,SKILL_0105,document analysis,Document analysis,CLUSTER_004,NLP and Text Analytics,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.25333333333333335,62,1,11,6,Document analysis requires understanding of text processing and information extraction techniques
Learning Progression,SKILL_0093,deepstream,DeepStream,CLUSTER_005,Computer Vision,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,0,20,1,
Learning Progression,SKILL_0096,detectron2,Detectron2,CLUSTER_005,Computer Vision,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,1,20,2,
Learning Progression,SKILL_0165,mmdetection,MMDetection,CLUSTER_005,Computer Vision,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,2,20,3,
Learning Progression,SKILL_0191,opencv,OpenCV,CLUSTER_005,Computer Vision,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,3,20,4,
Learning Progression,SKILL_0274,yolo,YOLO,CLUSTER_005,Computer Vision,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.25333333333333335,57,0,21,5,
Learning Progression,SKILL_0059,computer vision,Computer Vision,CLUSTER_005,Computer Vision,Role-Specific,3,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.25333333333333335,62,1,21,6,
Learning Progression,SKILL_0170,machine learning,Machine learning,CLUSTER_006,Machine Learning,Core Applied,2,0.5,0.5,0.04,0.4,0.279949419226045,0.36398482576781344,0.0,0.20719544773034404,0.8,0.18791499250337843,0.27,29,0,10,1,"Machine learning requires understanding of statistical methods, algorithms, and data modeling"
Learning Progression,SKILL_0255,supervised ml techniques,Supervised ML techniques,CLUSTER_006,Machine Learning,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,1.0,0.275,0.8,0.21250000000000002,0.25333333333333335,22,1,10,2,"Supervised ML techniques require understanding of labeled data, model training, and evaluation"
Learning Progression,SKILL_0207,predictive modeling,Predictive Modeling,CLUSTER_006,Machine Learning,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.109,0.64,0.0879,0.25333333333333335,62,2,10,3,Predictive Modeling requires understanding of statistical methods and data modeling techniques
Learning Progression,SKILL_0227,random forests,Random Forests,CLUSTER_006,Machine Learning,Core Applied,2,0.5,0.5,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.25333333333333335,68,3,10,4,Random Forests require understanding of ensemble methods and decision tree algorithms
Learning Progression,SKILL_0169,machine learning algorithms,Machine Learning Algorithms,CLUSTER_006,Machine Learning,Core Applied,2,0.55,0.44999999999999996,0.02666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.14200000000000002,0.88,0.1122,0.2383333333333333,48,0,11,5,Machine learning algorithms require understanding of statistical methods and algorithmic principles
Learning Progression,SKILL_0262,tensorflow,TensorFlow,CLUSTER_007,Deep Learning,Advanced / Differentiator,4,0.8,0.19999999999999996,0.02,0.4,0.39548848910372325,0.39864654673111694,0.0,0.20859396401933508,0.8,0.1894533604212686,0.10999999999999997,27,0,30,1,Requires advanced knowledge of deep learning frameworks and model training
Learning Progression,SKILL_0263,tensorrt,TensorRT,CLUSTER_007,Deep Learning,Advanced / Differentiator,4,0.85,0.15000000000000002,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.125,0.8,0.0975,0.07833333333333334,57,1,30,2,Requires expertise in optimizing deep learning models for inference using TensorRT
Learning Progression,SKILL_0091,deep learning,Deep Learning,CLUSTER_007,Deep Learning,Advanced / Differentiator,4,0.85,0.15000000000000002,0.006666666666666667,0.2,-0.0,0.13999999999999999,0.0,0.0,0.0,0.045,0.07833333333333334,68,2,30,3,"Requires advanced knowledge of neural networks, optimization, and frameworks like TensorFlow"
Learning Progression,SKILL_0164,mlflow,MLflow,CLUSTER_008,MLOps and Deployment,Role-Specific,3,0.65,0.35,0.013333333333333334,0.2,-0.0,0.13999999999999999,0.0,0.128,0.8,0.1008,0.18166666666666664,53,0,20,1,"MLflow requires understanding of MLOps, model tracking, and experiment management"
